Position,Company Name,Location,,,,,,,,
Mortgage QA/ QC Analyst - Remote,"Recovco Mortgage Management, LLC","Irving, TX",,,,,,,,
"Distribution Center Associate (2nd Shift) - Farmers Branch, TX - #998",Eyemart Express,"Dallas, TX",,,,,0 applicants,Eyemart Express logo,,
"Distribution Center Associate (2nd Shift) - Farmers Branch, TX - #998",Eyemart Express,"Dallas, TX",,,,,0 applicants,Cognizant logo,,
Sr. Associate - Projects,Cognizant,"Plano, TX",,,,,Clinical Health Network For Transformation (CHN) logo,,,
Patient Access Quality Analyst Remote USA,Clinical Health Network For Transformation (CHN),United States,,,,,,,,
Digital Intern,Haggar Clothing Co.,"Farmers Branch, TX",,,,,AM LLC logo,,,
"Implementation Specialist - (Remote/ Onsite, US)",AM LLC,United States,,,,,CoreLogic logo,,,
"Associate, Valuation Quality",CoreLogic,"Irving, TX",,,,,,,,
Quality Assurance Consultant,Dice,"Plano, TX",,,,,0 applicants,Welocalize logo,,
Search Quality Rater - English (located in India) [Remote/Freelance],Welocalize,United States,,,,,,,,
QA Lead with Content Management || Remote 100% || Full-Time,Dice,"Dallas, TX",,,,,21 applicants,Dice logo,,
Project Coordinator,Dice,United States,,,,,Vivid Seats logo,,,
Quality Assurance Specialist,Vivid Seats,"Coppell, TX",,,,,17 applicants,Goldman Sachs logo,,
Tech Risk - Advisory - Pen Tester - Associate,Goldman Sachs,"Dallas, TX",,,,,,,,
"Senior Associate, Brand",Capital One,"Plano, TX",,,,,,,,
Quality Assurance Specialist,"Dallas, TX",On-site,,,,,,,,
Enterprise Applications Specialist,Billingsley Company,"Dallas, TX",,,,,13 applicants,Easy Apply,Peterbilt Motors Company logo,
Technical Content Liaison Job,Peterbilt Motors Company,"Denton, TX",,,,,6 days ago,8 applicants,Easy Apply,"Pharm-Olam, LLC logo"
Quality Assurance (QA) Auditor - (Open throughout the US),"Pharm-Olam, LLC",United States,,,,,Bank of America logo,,,
SR QA Analyst- Testing,Bank of America,"Addison, TX",,,,,,,,
Quality Assurance and Compliance Analyst,Tecovas,"Dallas, TX",,,,,8 applicants,Dice logo,,
Marketing Vendor Analyst,Dice,"Irving, TX",,,,,,,,
Bengali Part-Time Linguistic QA Tester,Welocalize,United States,,,,,{:companyName} logo,,,
Loan Servicing Admin I,"Dallas, TX",On-site,,,,,,,,
Sr. QA Engineer REMOTE,Penn Interactive,United States,,,,,PresenceLearning logo,,,
Sr. QA Engineer,PresenceLearning,United States,,,,,,,,
Senior Technical Recruiter,Huntress,United States,,,,,Becker Professional Education logo,,,
Learning Operations Specialist - Remote,Becker Professional Education,United States,,,,,,,,
Technical Implementation Specialist (remote),SAGE Publishing,United States,,,,,ChargePoint logo,,,
Call Center Quality Analyst,ChargePoint,United States,,,,,,,,
QA Engineer,Dynata,"Addison, TX",,,,,ARTISTREE a Michaels Company logo,,,
Customer Service Representative,ARTISTREE a Michaels Company,"Dallas, TX",,,,,Easy Apply,Natera logo,,
Document Control Coordinator,Natera,United States,,,,,Collabera Inc. logo,,,
QA Engineer - Remote,Collabera Inc.,"Plano, TX",,,,,,,,
Workday Consultant,eTeam,"Frisco, TX",,,,,,,,
"Manufacturing Planner Associate / Grand Prairie, TX with Security Clearance",ClearanceJobs,"Grand Prairie, TX",,,,,Mediaocean logo,,,
Technical Recruiter,Mediaocean,United States,,,,,17 applicants,GameStop logo,,
Training Coordinator,GameStop,"Grapevine, TX",,,,,,,,
"Coordinator, Research & Evaluation",National Math and Science Initiative,"Dallas, TX",,,,,U.S. Bank logo,,,
"Regulatory, Compliance, and Control Professional - WM LCOE",U.S. Bank,United States,,,,,"Nexstar Media Group, Inc. logo",,,
Database Administrator,"Nexstar Media Group, Inc.","Irving, TX",,,,,,,,
Sr. Associate - Projects,Cognizant,"Plano, TX",,,,,Remington Hotels logo,,,
Technical Writer,Remington Hotels,"Dallas, TX",,,,,Invitation Homes logo,,,
"Coordinator, Operational Support",Invitation Homes,"Dallas, TX",,,,,4 applicants,Dice logo,,
QA Analyst / Direct Hire / Remote,Dice,United States,,,,,,,,
Online Configuration Support Specialist,Internova Travel Group,United States,,,,,,,,
Quality Assurance (QA) Tester,Alto,"Dallas, TX",,,,,Texas Capital Bank logo,,,
ABL Collateral Analyst,Texas Capital Bank,"Dallas, TX",,,,,Fisher Investments logo,,,
Quality Assurance Specialist,Fisher Investments,"Plano, TX",,,,,5 applicants,{:companyName} logo,,
Customer Service Representative I,"Fort Worth, TX",On-site,,,,,,,,
Salesforce QA/BA 100% Remote,Dice,United States,,,,,Dice logo,,,
Junior Quality Anlayst,Dice,United States,,,,,Infor logo,,,
"Quality Assurance Analyst, Associate",Infor,United States,,,,,,,,
QA with OTT,Dice,United States,,,,,Dice logo,,,
Business Analyst/Technical Trainer,Dice,"Dallas, TX",,,,,Dice logo,,,
QA/BA Analyst,Dice,United States,,,,,Epsilon logo,,,
Email Campaign Specialist (Remote),Epsilon,"Irving, TX",,,,,Capital One logo,,,
Associate Transaction and Controls Tester - Compliance Testing,Capital One,"Plano, TX",,,,,,,,
Associate Registration Coordinator,The Pasha Group,"Irving, TX",,,,,0 applicants,Angel Dry Carpet &amp; Rug Cleaning logo,,
Franchise Development,Angel Dry Carpet & Rug Cleaning,"Carrollton, TX",,,,,,,,
E-Commerce Production Associate,Brilliant Earth,United States,,,,,Easy Apply,CVS Health logo,,
Rep II Benefits Setup,CVS Health,United States,,,,,Cognizant logo,,,
Sr. Associate - Projects,Cognizant,"Dallas, TX",,,,,Goldman Sachs logo,,,
Corporate and Workplace Solutions - Document Digitization - Associate - Dallas,Goldman Sachs,"Dallas, TX",,,,,CTDI logo,,,
Quality Inspector,CTDI,"Flower Mound, TX",,,,,1 applicant,Parkland Hospital logo,,
HIM Health Record Quality Analyst I,Parkland Hospital,"Dallas, TX",,,,,3 weeks ago,0 applicants,Lockheed Martin logo,
Quality Engineer Associate - Entry Level,Lockheed Martin,"Grand Prairie, TX",,,,,Parkland Hospital logo,,,
IT Help Desk - QA Specialist,Parkland Hospital,"Dallas, TX",,,,,1 month ago,6 applicants,Inogen logo,
Document Control Specialist,Inogen,"Plano, TX",,,,,,,,
Customer Feedback Team Lead (Remote),"Fort Worth, TX",Remote,,,,,,,,
Software Quality Tester,Collabera Inc.,"Irving, TX",,,,,Harvard Business Publishing logo,,,
Senior QA Lead,Harvard Business Publishing,United States,,,,,,,,
UX Designers,Dice,"Richardson, TX",,,,,,,,
Activity Coordinator,"Fort Worth, TX",On-site,,,,,,,,
QA Specialist,Bank of America,"Dallas, TX",,,,,,,,
Customer Care Specialist,"Fort Worth, TX",$33K/yr - $51K/yr (LinkedIn est.),,,,,,,,
Data Analyst,Dice,United States,,,,,Upstart logo,,,
"Compliance Associate, Testing & Monitoring",Upstart,United States,,,,,Amobee logo,,,
Programmatic Media Analyst (Remote),Amobee,United States,,,,,,,,
Packer Feeder,WestRock Company,"Garland, TX",,,,,{:companyName} logo,,,
QA Specialist,"Plano, TX",On-site,,,,,,,,
Remote - Urgent role - SDET - $50/hr c2c,TechFetch.com - On Demand Tech Workforce hiring platform,"Dallas, TX",,,,,,,,
"Intern, Software Engineering",Invitation Homes,"Dallas, TX",,,,,,,,
QA Engineer - Salesforce (Functional/Integration),Texas Capital Bank,"Richardson, TX",,,,,"HeartFlow, Inc logo",,,
Release Coordinator (Remote),"HeartFlow, Inc",United States,,,,,,,,
Digital Products - DevOps - Senior Associate,PwC,"Dallas, TX",,,,,Dice logo,,,
Quality Assurance Selenium remote,Dice,United States,,,,,Southwest Transplant Alliance logo,,,
Business Development Specialist,Southwest Transplant Alliance,"Dallas, TX",,,,,,,,
Quality Assurance Specialist - Merchant Operations,Affirm,"Dallas, TX",,,,,Guild Education logo,,,
"Lead, Marketplace Quality & Impact (Remote)",Guild Education,United States,,,,,8 applicants,CTDI logo,,
Quality Inspector - Direct Hire,CTDI,"Flower Mound, TX",,,,,0 applicants,MEDICAL CITY DALLAS logo,,
OR Inventory Specialist,MEDICAL CITY DALLAS,"Dallas, TX",,,,,1 applicant,ClearanceJobs logo,,
Manufacturing Planner Asc - Entry Level with Security Clearance,ClearanceJobs,"Grand Prairie, TX",,,,,Affirm logo,,,
"Training Specialist, Customer Operations",Affirm,"Dallas, TX",,,,,,,,
Senior Market Research Analyst,J.D. Power,United States,,,,,,,,
Corsair Gaming Technical Support,Corsair,United States,,,,,,,,
Onboarding Specialist,Invo Behavior and Therapy Services,NAMER,,,,,ClearanceJobs logo,,,
"Manufacturing Planner Associate / Grand Prairie, TX with Security Clearance",ClearanceJobs,"Grand Prairie, TX",,,,,Elemy logo,,,
"Senior Product Operations Associate, Salesforce - Remote",Elemy,United States,,,,,,,,
OR Inventory Specialist,MEDICAL CITY DALLAS,"Dallas, TX",,,,,0 applicants,Goodier Cosmetics Inc logo,,
Quality Assurance Specialist,Goodier Cosmetics Inc,"Dallas, TX",,,,,,,,
